Обозначение кабеля, провода	Трасса		Проxод через				Кабель, провод					
	Начало	Конец	трубу			Протяжной ящик №	по проекту			проложено		
			Обозначение	Диаметр по стандарту, мм	Длина, м		Марка	Кол., число и сечение жил	Длина, м	Марка	Кол., число и сечение жил	Длина, м
181-II.PIT-K1	Пульт местного управления (181-II.SB)	Преобразователь давления (181-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	10			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 200-II											 	
200-II-S2	Шкаф 200-IIШ	Пост сигнализации (200-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	105			10,7
			РЗ ЦПнг	15								
200-II-K1	Шкаф 3ШУ4 Панель 3	Шкаф 200-IIШ					МКЭШнг(A)-LS	10x0,75				14
												
200-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 200-IIШ					МКЭШнг(A)-LS	7x0,75				10,8
												
200-II-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (200-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	110			10,8
			РЗ ЦПнг	15								
200-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (200-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75	110			9,1
			РЗ ЦПнг	15								
200-II.PIT-K1	Пульт местного управления (200-II.SB)	Преобразователь давления (200-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	10			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 207-I											 	
207-I-S2	Шкаф 207-IШ	Пост сигнализации (207-I.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	135			10,7
			РЗ ЦПнг	15								
207-I-K1	Шкаф 3ШУ4 Панель 3	Шкаф 207-IШ					МКЭШнг(A)-LS	10x0,75	5			14
												
207-I-K2	Шкаф 3ШУ4 Панель 5	Шкаф 207-IШ					МКЭШнг(A)-LS	7x0,75	5			10,8
												
207-I-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (207-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75				10,8
			РЗ ЦПнг	15								
207-I-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (207-I.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
207-I.PIT-K1	Пульт местного управления (207-I.SB)	Преобразователь давления (207-I.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	15			8,6
			РЗ ЦПнг	15								
Насос центробежный поз. 207-II											 	
207-II-S2	Шкаф 207-IIШ	Пост сигнализации (207-II.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	95			10,7
			РЗ ЦПнг	15								
207-II-K1	Шкаф 3ШУ4 Панель 3	Шкаф 207-IIШ					МКЭШнг(A)-LS	10x0,75				14
												
207-II-K2	Шкаф 3ШУ4 Панель 5	Шкаф 207-IIШ					МКЭШнг(A)-LS	7x0,75				10,8
												
207-II-K3	Шкаф 3ШУ4 Панель 3	Пульт местного управления (207-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75				10,8
			РЗ ЦПнг	15								
207-II-K4	Шкаф 3ШУ4 Панель 5	Пульт местного управления (207-II.SB)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,75				9,1
			РЗ ЦПнг	15								
207-II.PIT-K1	Пульт местного управления (207-II.SB)	Преобразователь давления (207-II.PIT)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	10			8,6
			РЗ ЦПнг	15								
Шкаф ШУ155-III											 	
155-IIIа-S2	Шкаф ШУ155-III	Пост сигнализации (155-IIIа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU155-III-S1	Шкаф ШУ155-III	Пульт ПУ155-III	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	120			10,7
			РЗ ЦПнг	15								
PU155-III.ONet-1	Шкаф ШУ155-III	Пульт ПУ155-III	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU155-III-K1	Шкаф ШУ155-III	Пульт ПУ155-III	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	120			10,8
			РЗ ЦПнг	15								
155-III.PIS-K1	Пульт ПУ155-III	Реле давления (155-III.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5				8,6
			РЗ ЦПнг	15								
Шкаф ШУ155-IV											 	
155-IVа-S2	Шкаф ШУ155-IV	Пост сигнализации (155-IVа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU155-IV-S1	Шкаф ШУ155-IV	Пульт ПУ155-IV	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	80			10,7
			РЗ ЦПнг	15								
PU155-IV.ONet-1	Шкаф ШУ155-IV	Пульт ПУ155-IV	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU155-IV-K1	Шкаф ШУ155-IV	Пульт ПУ155-IV	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	80			10,8
			РЗ ЦПнг	15								
155-IV.PIS-K1	Пульт ПУ155-IV	Реле давления (155-IV.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф ШУ164-I											 	
164-Iа-S2	Шкаф ШУ164-I	Пост сигнализации (164-Iа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU164-I-S1	Шкаф ШУ164-I	Пульт ПУ164-I	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	110			10,7
			РЗ ЦПнг	15								
PU164-I.ONet-1	Шкаф ШУ164-I	Пульт ПУ164-I	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU164-I-K1	Шкаф ШУ164-I	Пульт ПУ164-I	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	110			10,8
			РЗ ЦПнг	15								
164-I.PIS-K1	Пульт ПУ164-I	Реле давления (164-I.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5				8,6
			РЗ ЦПнг	15								
Шкаф ШУ164-III											 	
164-IIIа-S2	Шкаф ШУ164-III	Пост сигнализации (164-IIIа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU164-III-S1	Шкаф ШУ164-III	Пульт ПУ164-III	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	105			10,7
			РЗ ЦПнг	15								
PU164-III.ONet-1	Шкаф ШУ164-III	Пульт ПУ164-III	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU164-III-K1	Шкаф ШУ164-III	Пульт ПУ164-III	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	105			10,8
			РЗ ЦПнг	15								
164-III.PIS-K1	Пульт ПУ164-III	Реле давления (164-III.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5				8,6
			РЗ ЦПнг	15								
Шкаф ШУ204-I 											 	
204-Iа-S2	Шкаф ШУ204-I	Пост сигнализации (204-Iа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU204-I-S1	Шкаф ШУ204-I	Пульт ПУ204-I	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	70			10,7
			РЗ ЦПнг	15								
PU204-I.ONet-1	Шкаф ШУ204-I	Пульт ПУ204-I	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU204-I-K1	Шкаф ШУ204-I	Пульт ПУ204-I	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	70			10,8
			РЗ ЦПнг	15								
204-I.PIS-K1	Пульт ПУ204-I	Реле давления (204-I.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
204-I.FS-K1	Пульт ПУ204-I	Реле расхода (204-I.FS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф ШУ204-II											 	
204-IIа-S2	Шкаф ШУ204-II	Пост сигнализации (204-IIа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU204-II-S1	Шкаф ШУ204-II	Пульт ПУ204-II	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	70			10,7
			РЗ ЦПнг	15								
